crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Chickpea ,(Garbanzo Bean) (Cicer sp.)-Virus diseases,"Red clover vein mosaic virus. This disease has been reported at low levels in eastern Washington. Red clover is also a host and the virus is spread by aphids.


","Plants may exhibit a mosaic with bud proliferation and malformation of leaves and branches. A severe stunting can also occur as well a severe reduction in flower and pod numbers.


","

1) Do not plant chickpeas adjoining an established clover field.

2) Destroy clover plants on ditch banks or waste areas in order to remove reservoirs of the virus.

",,
Chicory ,(Cichorium species),,,,,
Christmas Cactus ,(Schlumbergera spp.)-Stem and Root Rots,"Several organisms can cause lower stem and root rots on these holiday cacti including Fusarium oxysporum, Pythium spp., and Phytophthora sp. The OSU Plant Clinic has found Fusarium.
Fusarium survives in the soil as thick-walled, dormant chlamydospores, which germinate in response to exudates from nearby plant roots. Hyphae then penetrate the roots, colonize the cortex, and move into the xylem tissue. The fungus can attach wounded or non-wounded plants. Small spores, microconidia, are produced and carried up into the plant.
Both Pythium and Phytophthora are oomycetes and are strongly favored by abundant moisture especially in poorly drained potting media. They can survive in dust, planting media, or soil particles on greenhouse floors, flats, and pots. Wood benches can also be a reservoir. Spread can also occur via movement of infected plants. Damaged plants are more easily infected. Pythium can enter roots damaged by high-soluble salts, either from overfertilization or from letting the rooting medium dry out, even for short periods, during propagation.


","
Fusarium - Water-soaked lesions first occur with reddish-brown margins. The tissue then dries to a paper-thin tan. Upper portions of the plant wilt when cut off from functioning roots.
Pythium - Feeder roots become brown and soft rotted where the cortex easily separates from the vascular system. The plant wilts in later stages of disease development.
Phytophthora - Plants collapse and show brown lesions at the base of the plant.


","

1) Do not overwater plants.

2) Provide good drainage for plants in containers.

3) Avoid reusing pots or trays from a previous crop for propagation. If pots must be reused then wash off all debris and soak in a sanitizing solution or treat with aerated steam for 30 min.

4) Remove all dead and dying plants from the production area being careful not to contaminate healthy plants or areas.

","Focus on cultural controls first. Labels may still list old Zygocactus name. Rotate among fungicides from different groups with different modes of action.
To control Rhizoctonia only:


To control Pythium and/or Phytophthora only:


1) Cleary's 3336 EG at 8 oz/100 gal water as a drench after transplanting. High rates in combination with mancozeb may damage plants. Group 1 fungicide. 12-hr reentry.

2) Heritage at 0.2 to 1 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

3) Medallion WDG at 1 to 2 oz/100 gal water. Use with oils or adjuvants may damage plant. Group 12 fungicide. 12-hr reentry.

1) Alude at 5 to 10 fl oz/100 gal water applied as a soil drench at a rate of 25 gal solution/100 sq ft. Use only once per month. Can also be used as a foliar spray at 26 to 54 fl oz /100 gal water at 14- to 21-day intervals. Group 33 fungicide. 4-hr reentry.

2) Fosphite at 1 to 2 quarts/100 gal water. Do not use copper products within 20 days of treatment and do not use spray adjuvants. Group 33 fungicide. 4-hr reentry.

3) Heritage at 0.2 to 1 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

4) MetaStar 2E at 0.5 to 2 fl oz/100 gal water at transplanting, and see label for media incorporation. Group 4 fungicide. 48-hr reentry.

5) Subdue MAXX at 0.5 to 1 oz/100 gal water at transplanting. Group 4 fungicide. 48-hr reentry.

",
Chrysanthemum,Aster Yellows,"Candidatus Phytoplasma asteris, formerly referred to as a mycoplasma-like organism (MLO), which is spread naturally by a leafhopper insect. Leafhoppers may take several days to acquire the phytoplasma while feeding on infected plants. It takes several more days or up to a month before they can spread the pathogen to healthy plants. The disease is common to many plants, particularly those in the composite group, including chrysanthemums and asters.


","Very noticeable when the flowers produced on chrysanthemum are green (virescent) instead of the normal color for the cultivar. Sometimes the flowering stem's upper branches are thin, pale or yellowish, and more upright than usual. A number of thin, weak shoots bearing tiny leaves may rise from the base of the plant.


","

1) Remove and destroy infected plants.

2) Control leafhoppers. See the

3) Heat treatment at 86°F to 99°F for several weeks.

",,
Chrysanthemum,Crown Gall,"The bacterium Agrobacterium tumefaciens enters plants through wounds, either natural or caused by pruning, grafting, mechanical injury, chewing insects, or the emergence of lateral roots. Galls can occur at sites of lateral shoot removal or pinching of terminals. The bacteria can be systemic in plants. After the bacterium enters a wound, a small piece of its DNA is transferred into the plant's DNA. The foreign DNA transforms normal plant cells in the wounded area into tumor cells. Once transformed, tumor cells proliferate automatically. The result is a gall: a disorganized mass of hyperplastic and hypertrophic tissue. Galls break down in the soil and release bacteria, which can be transported by moving media or water. These bacteria are viable in galled tissue and infected plants for 6 to 8 weeks. Galls on roots or stems disrupt the normal flow of water and nutrients and can lead to reduced growth. Many plants in 90 families are susceptible but woody perennials such as stone and pome fruit, caneberries (such as blackberry and raspberry), euonymus, Photinia, poplar, rose, walnut, and willow are typically infected.


","Galls are often at or just below the soil surface in the basal or root crown region and can reach 1.5 to 2 inches in size. They may frequently be on roots, less frequently on aerial plant parts such as stems and leaves. Galls are usually rounded with a rough, irregular surface. They first appear as small protuberances on the plant surface. Young, actively developing galls are light green or nearly white, and the tissue is soft. As they age, galls become dark and woody. Sometimes galls have a rather smooth surface, which makes it difficult to distinguish between gall and callus growth, especially if the gall is at the base of an unrooted cutting.
Galls can occur on leaves on lateral or mid-veins and appear smooth, light tan-colored usually less than 0.25 inch in size. Galls can occur on both sides of the leaf.


","

1) Use only pathogen-free nursery stock. Inspect new plants; do not plant any that have galls.

2) Avoid wounding plants, especially at planting.

3) Disinfect cutting equipment frequently. Clean shears and long soak times improve the disinfectant's efficacy.

4) Scout for and destroy affected plants including potting media and pots.

",,
Chrysanthemum,Gray Mold,"Botrytis cinerea, a fungus. Botrytis blight is a disease of greenhouse-grown chrysanthemums. The fungus survives in plant debris as sclerotia. Spores spread by overhead irrigation and by air, favored by high humidity and temperatures of 50°F to 70°F. Warm days followed by cool nights encourages condensation on flowers which favors disease development. Wounded or senescent tissue is most likely to be infected.


","Brown water-soaked spots on chrysanthemum petals and leaves. First symptoms usually are on outer, older florets. Later, a powdery grayish brown mass of fungal spores covers affected parts. Lower senescent leaves may rot, and if the fungus gets into the stem, it may girdle the stem.


","

1) Provide good air circulation-space plants apart.

2) Remove and destroy affected leaves as soon as noticed. Dispose of all plant debris promptly.

3) Avoid overhead watering.

","Use as a foliar spray in conjunction with cultural control methods. Tank-mix and/or alternate products from different groups with different modes of action to prevent the buildup of resistant fungi. Limit the use of any one group during crop production.


1) Astun at 10 to 17 fl oz/100 gal water. Group 7 fungicide. 12-hr reentry.

2) Bonide Captan 50 WP may be used in Oregon home gardens at 2 Tbsp/gal water.

3) Bonide Fung-onil Multi-purpose Fungicide at 2.25 teaspoons/gal water.

4) Captan 80 WDG at 1.5 lb/100 gal water. Group M4 fungicide. 48-hr reentry.

5) Chipco 26019 N/G at 1 to 2.5 lb/100 gal water. Group 2 fungicide. 12-hr reentry.

6) Copper-Count-N at 1 quart/100 gal water. Discolored foliage or blooms have been noted. Group M1 fungicide. Oregon only. 48-hr reentry general or 24-hr reentry for greenhouse.

7) Daconil Weather Stik at 1.4 pints/100 gal. Avoid blooms. Group M5 fungicide. 12-hr reentry.

8) Decree 50 WDG at 0.75 to 1.5 lb/100 gal water. Group 17 fungicide. 12-hr reentry.

9) Emblem at 2 to 4 fl oz/100 gal water. Use with oils or adjuvants may cause plant damage. Group 12 fungicide. 12-hr reentry.

10) Exotherm Termil at 1 can/1500 sq ft of greenhouse. It ignites to form a vapor that condenses back on the plants. See label for details. Group M5 fungicide. 24-hr reentry with no ventilation or 12-hr reentry with ventilation.

11) Hi Yield Captan 50 W Fungicide may be used in Oregon home gardens at 2 Tbsp/gal water.

12) Nu-Cop 50 DF at 1 lb/100 gal water. Blooms may discolor. Group M1 fungicide. 24-hr reentry.

13) Mancozeb-based products can be used as mixing partners and provide some protection. Group M3 fungicides. 24-hr reentry.

13.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
13.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
14) Medallion WDG at 2 to 4 oz/100 gal water. Use with oils or adjuvants may damage plant. Group 12 fungicide. 12-hr reentry.

15) Mozart TR at 1 can/4,500 sq ft of greenhouse. Group 12 fungicide. 12-hr reentry with no ventilation.

16) OHP 6672 4.5 F at 10 to 14.5 fl oz/100 gal water plus another fungicide. Group 1 fungicide. 12-hr reentry.

17) Orkestra at 8 fl oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

18) Pageant at 12 to 18 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

19) Phyton 27 at 1.5 to 2.5 fl oz/10 gal water. Group M1 fungicide. 48-hr reentry.

20) Sil-Matrix at 1 to 4 quarts/100 gal water plus a nonionic surfactant. 4-hr reentry.

21) Spectro 90 WDG at 1 to 2 lb/100 gal water. Group 1 + M5 fungicide. 12-hr reentry.

22) Terraguard SC at 4 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

23) Zyban WSB at 24 oz/100 gal water. Not to be confused with the smoking cessation drug. Group 1 + M3 fungicide. 24-hr reentry.

","


1) Prestop (  strain J1446) at 3.5 oz/5 gal water. Do not use with other products in the tank. 0-hr reentry.

"
Chrysanthemum,"Nematode, Bud and Leaf","Aphelenchoides ritzemabosi, a foliar nematode generally found in buds and leaves of chrysanthemum although it may be detected in soil as well. Can attack related composites such as aster. Some plants can be symptomless carriers. Plants are not systemically infected. Spread can be rapid even when low-volume spray stakes are used.


","Black or brown areas in leaves. Affected areas are wedge-shaped and border the veins. Later, leaves dry, turn brown, and hang down. Generally starts with older leaves and progresses upward. Young leaves may be distorted. Feeding within the bud may kill the growing point and prevent flowering. Bud feeding also can produce malformed leaves with rough brown scars.


","

1) Mulch to discourage nematodes from moving up from the soil.

2) Keep plant tops dry by not irrigating or sprinkling overhead.

3) Grow in sterile media.

4) Dispose of all plant debris promptly.

5) Propagate from nematode-free stock plants.

","These nematodes are also sensitive to organophosphate insecticides. Check the PNW Insect Management Handbook for current registrations and/or warnings on phytotoxicities.


1) Pylon miticide at 5.2 to 10 fl oz/100 gal water. Make initial application at first signs of plant damage followed by a second application in 7 to 14 days. A third application can be made in 4 to 6 weeks if plant damage is detected again. 12-hr reentry.

",
Chrysanthemum,"Nematode, Root Lesion",,,,,
Chrysanthemum,Powdery Mildew,"Golovinomyces cichoracearum (formerly Erysiphe cichoracearum), and G. chrysanthemi, fungi reported from Washington that produces airborne spores only on living chrysanthemum plants. High humidity, crowding, and cool weather favor the disease.


","Whitish-gray powdery growth on leaves, stems, and buds. Severely affected leaves become narrow, stunted, and stiff. Lower leaves may drop.


","

1) Keep susceptible cultivars isolated.

2) Space plants far enough apart to ensure good air circulation.

3) Pick off and burn affected leaves, if practical.

4) Keep greenhouse humidity low.

","Scout plants regularly and use fungicides just before or when first symptoms appear. Alternate or tank-mix products from different groups that have different modes of action.  Limit the use of any one group during crop production.


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Bayleton 50 T&O at 5.5 oz/275 to 550 gal water. Landscape only, not for use on plants for sale. Group 3 fungicide. 12-hr reentry.

3) Bicarbonate-based products. Might be used to supplement a normal program when powdery mildew is first observed. Do not mix with acidifying agents. Thorough coverage is essential.

3.1) Armicarb ""O"" (85% potassium bicarbonate) at 2.5 to 5 lb/100 gal water. 4-hr reentry.
3.2) MilStop (85% potassium bicarbonate) at 2.5 to 5 lb/A in the field or 1.25 to 5 lb/100 gal water in the greenhouse. Oregon and Washington only. 1-hr reentry.
3.3) Monterey Bi-Carb Old Fashioned Fungicide at 4 teaspoons/2 gal water.  H
4) Cosavet-DF (80% sulfur) at 3 to 5 lb/100 gal water. Group M2 fungicide. 24-hr reentry.

5) Disarm O at 1 to 4 fl oz/100 gal water. Group 11 fungicide. 12-hr reentry.

6) Eagle 20 EW at 8 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

7) Fame SC at 1 to 4 fl oz/100 gal water. Group 11 fungicide. 12-hr reentry.

8) Fungaflor TR at 1 can/1000 sq ft of greenhouse. It ignites to form a vapor that condenses on the plants. See label for details. Group 3 fungicide. 24-hr reentry including ventilation after an overnight period.

9) Heritage at 1 to 4 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

10) Insignia at 4 to 8 oz/100 gal water. Do not use with organosilicate-based adjuvants. Use preventively only. Group 11 fungicide. 12-hr reentry.

11) JMS Stylet Oil at 1 oz/1 gal water. Do not use with or near a sulfur application. Do not use during freezing temperatures, above 90°F, or when plants are under heat or moisture stress. Do not use when foliage is wet as good coverage is essential. 4-hr reentry.

12) Myclobutanil 20 EW T&O at 8 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

13) Orkestra at 6 to 8 fl oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

14) Pageant at 6 to 12 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

15) Pipron at 4 to 8 fl oz/100 gal water plus a surfactant. Greenhouse production only. Group 5 fungicide. 12-hr reentry.

16) Rubigan AS at 3 to 5 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

17) Safer Garden Fungicide (Ready To Use 0.4% sulfur) thoroughly sprayed over the entire plant. Do not use when the temperature is over 85°F or within a few weeks of an oil spray.

18) Sil-Matrix at 1 to 4 quarts/100 gal water plus a nonionic surfactant. 4-hr reentry.

19) Spectracide Immunox at 1 fl oz/gal water.

20) Strike Plus 50 WDG at 3 to 9 oz/100 gal water. In the greenhouse, use 1.2 oz/100 gal in winter and 2.4 oz/100 gal water in summer. Group 3 + 11 fungicide. 12-hr reentry.

21) Sulfur (90%) at 3 Tbsp/gal water. Avoid using sulfur during hot periods or on open flowers because it may cause bleaching. Group M2 fungicide. 24-hr reentry.

22) Terraguard SC at 4 to 8 fl oz/100 gal water. Although a 16 oz/100 gal water rate can be used for initial applications to existing infections, use only in conjunction with a regular scouting program that detects initial symptom development. Group 3 fungicide. 12-hr reentry.

23) Trigo at 1.5 to 2.4 oz/100 gal water. Group 3 + 11 fungicide. 12-hr reentry.

24) Trinity at 4 to 12 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

","


1) Bayer Advanced Natria Disease Control RTU (  strain QST 713) is registered for the home garden. Active ingredient is a small protein.

2) Cease or Rhapsody (  strain QST 713) at 2 to 8 quarts/100 gal water. Active ingredient is a small protein. Efficacy in the Pacific Northwest is unknown. 4-hr reentry.

"
Chrysanthemum-Rust ,(Brown Rust),"Puccinia chrysanthemi (formerly P. tanaceti), a fungus that overwinters on vagrant plants or plant residue. There is no alternate host so spores produced on chrysanthemum will reinfect the plant. Free moisture is necessary for infection. Optimum temperature for disease expression is 59°F to 70°F. Temperatures greater than 100°F for 8 hours will kill infections.


","Pale yellow flecks are first observed on both leaf surfaces. Small blister-like bodies (uredinia) that develop on leaves' undersides later break open to expose a reddish brown, powdery mass of spores. Uredinia are often found in concentric rings. Symptoms may be very subtle on the upper leaf surface. Stem infections have not been observed. Affected plants may be stunted and produce few flowers. Early symptoms are similar to white rust.


","

1) Keep susceptible cultivars isolated.

2) Pick off and burn affected leaves.

3) Use cuttings from healthy plants only.

4) Remove plant debris and escaped plants.

5) Keep humidity low, and avoid wetting foliage. Use drip irrigation.

6) Exposure to temperatures over 87°F for 24 hours can cure infections that are several days old.

","


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Banner MAXX at 8 to 12 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

3) Bayleton 50 T&O at 5.5 oz/275 gal water. Landscape only, not for use on plants for sale. Group 3 fungicide. 12-hr reentry.

4) Bonide Fung-onil Multi-purpose Fungicide at 2.25 teaspoons/gal water.

5) Compass O 50 WDG at 2 to 4 oz/100 gal water. Group 11 fungicide. 12-hr reentry.

6) Daconil Weather Stik at 1.4 pints/100 gal water. Group M5 fungicide. 12-hr reentry.

7) Eagle 20 EW at 8 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

8) Fame SC at 1 to 4 fl oz/100 gal water. Group 11 fungicide. 12-hr reentry.

9) Fungaflor TR at 1 can/1000 sq ft of greenhouse. It ignites to form a vapor that condenses on the plants. See label for details. 24-hr reentry including ventilation after an overnight period.

10) Heritage at 1 to 4 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

11) Insignia at 4 to 8 oz/100 gal water. Do not use with organosilicate-based adjuvants. Use preventively only. Group 11 fungicide. 12-hr reentry.

12) Mancozeb-based products. Group M3 fungicides. 24-hr reentry.

12.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
12.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
13) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

14) Pageant at 6 to 12 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

15) ProStar 70 WG at 3 to 6 oz/100 gal water. Group 7 fungicide. 12-hr reentry.

16) Spectracide Immunox at 1 fl oz/gal water.

17) Spectro 90 WDG at 1 to 2 lb/100 gal water. Group 1 + M5 fungicide. 12-hr reentry.

18) Strike Plus 50 WDG at 3 to 9 oz/100 gal water or 4.8 to 9 oz/100 gal water in the greenhouse. Group 3 + 11 fungicide. 12-hr reentry.

19) Sulfur (90%) at 3 Tbsp/gal water. Avoid using sulfur during hot periods or on open flowers because it may cause bleaching. 24-hr reentry.

20) Terraguard SC at 2 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

21) Trigo at 4.8 to 9 oz/100 gal water. Group 3 + 11 fungicide. 12-hr reentry.

22) Ziram 76 DF at 1.5 to 2 lb/100 gal water. Group M3 fungicide. 48-hr reentry.

",
Chrysanthemum,Spotted Wilt,,"Ring patterns may occur on the leaves of some chrysanthemum cultivars. Leaf distortion and necrosis also can occur. Necrotic streaks may be on the stems. Flowers also may be distorted with some necrosis. Symptoms often are on only one side of the plant. Plants produce fewer flowers, fewer petals, and lower flower weight.


",,,
Chrysanthemum,Stunt,"Chrysanthemum stunt viroid. Contaminated cutting knives can spread the viroid. Handling infected plants before touching healthy plants can also spread this disease. The viroid has a large host range and may be symptomless in some plants. Infected plants may not flower correctly in response to controlled photoperiod.


","Leaves and flowers are smaller than normal, with some bleaching. Plants are stunted to about half normal size with a tendency to more upright growth and premature (7 to 10 days) blossoming. Cultivars vary widely in symptom expression.


","

1) Rogue out all diseased plants.

2) Use cuttings only from healthy, viroid-indexed stock.

3) After handling diseased plants, wash hands thoroughly with soap before touching other chrysanthemum plants.

4) Disinfect cutting tools between sets of stock plants.

",,
Chrysanthemum,Verticillium Wilt,"Verticillium dahliae, a soilborne fungus that enter through roots, invade the stem's xylem system, and cut off the water supply. Toxins are also produced, which, along with xylem occlusion, result in wilt symptoms. After the plant dies, the fungus colonizes the plant tissues and produces persistent survival structures. The disease is found most often in outdoor chrysanthemums, but greenhouse chrysanthemums also may be attacked.


","Foliage yellows and wilts conspicuously, especially near the margins, then leaves brown and die from the base of the plant upward. Infected plants are stunted and often fail to produce flowers. In other cases, the general wilting of the entire plant does not occur; instead, interveinal tissue in leaves becomes a pale yellow-green and finally brown. Discolored brown areas also appear in stems.


","

1) In the greenhouse, sterilize soil previously used for growing mums. Steam 30 min. at 140°F. Or use a sterile soilless potting mix.

2) Obtain cuttings only from healthy plants.

3) Use resistant cultivars when possible.

4) Rogue diseased plants early.

",,
Chrysanthemum,White Rust,"Puccinia horiana, a microcyclic rust. This federally quarantined disease was rarely reported until the early 1990s when several California nurseries reported problems. It has been found and eradicated in several nurseries in the greater Portland, OR area off and on since 1995 and in British Columbia since 2001. Usually it is found in nurseries that 'hold-over' mums from the previous growing season. The fungus can be systemic in the root crowns of some cultivars allowing overwintering in many areas. High humidity, free water, and moderate temperatures (63°F is optimum) favor the fungus. Teliospores are killed by 80% relative humidity for only 5 min. Telia may survive up to 8 weeks on dry leaves unless they are buried, in which case they last only 1 week. Spores produced in telia can be blown by the wind and reinfect chrysanthemum up to 0.5 mile away. Splashing water and human handling can also spread spores. Germ tubes, arising from basidiospores, penetrate the host epidermis directly without appressoria. No alternate host is known. Any green tissue of the plant can be infected, but younger leaves are most susceptible.
Florists', hardy, and garden chrysanthemums are highly susceptible. Variations in host range have been detected, which suggests two or more races of the fungus.The following cultivars were observed to have little damage from this disease: Albert Heijn (Royal and White), Finmark, Freedom, Hawaii, Helsinki, Kes, Majesty, Paso Doble, Statesman (also had little damage from several insect problems), Tiger, Tigerrag, and Westland (Winter and Yellow).


","Small, pale green to yellow spots develop on upper leaf surfaces. On the undersides, buff to pink pustules (telia) form. Pustules turn white with age (production of basidiospores) and eventually become necrotic late in fall. Portions of the leaf may fall out, giving a shothole or tattered appearance. Severe infections may result in premature defoliation. Early symptoms are similar to brown rust.
If you think you have this disease please call the USDA APHIS PPQ office in Portland, OR and/or the ODA Invasive species hotline (1-800-INVADER).


","

1) Carefully inspect all cuttings and/or cut flowers coming into your operation. Imported plants should be isolated from any growing areas.

2) Destroy all plants with known infections, including roots.

3) Rake and destroy all fallen leaves or any other plant debris.

4) Do not grow susceptible plants in the area for at least 8 weeks.

5) Select resistant cultivars.

6) Reduce humidity and avoid overhead irrigation. Keep leaves dry.

","Use to prevent infections if the disease has been found in the area. Alternate or tank-mix products from different groups that have different modes of action. Resistance in Europe has already developed to Group 3 and 11 fungicides.


1) Armada 50 WDG at 3 to 9 oz/100 gal water. Do not use a silicone-based surfactant. Not for nursery or greenhouse use. Group 3 + 11 fungicide. 12-hr reentry.

2) Bayleton 50 T&O at 5.5 oz/275 gal water. Landscape only, not for use on plants for sale. Group 3 fungicide. 12-hr reentry.

3) Banner MAXX at 8 to 12 fl oz/100 gal water may help. Group 3 fungicide. 12-hr reentry.

4) Bonide Fung-onil Multi-purpose Fungicide at 2.25 teaspoons/gal water.

5) Daconil Weather Stik at 1.4 pints/100 gal water. Group M5 fungicide. 12-hr reentry.

6) Eagle 20 EW at 8 fl oz/100 gal water. Group 3 fungicide. 24-hr reentry.

7) Fame SC at 1 to 4 fl oz/100 gal water. Group 11 fungicide. 12-hr reentry.

8) Fungaflor TR at 1 can/1000 sq ft of greenhouse. It ignites to form a vapor that condenses on the plants. See label for details. Group 3 fungicide. 24-hr reentry including ventilation after an overnight period.

9) Heritage at 1 to 4 oz/100 gal water plus a non-silicone-based wetter sticker. Group 11 fungicide. 4-hr reentry.

10) Insignia at 4 to 8 oz/100 gal water. Do not use with organosilicate-based adjuvants. Use preventively only. Group 11 fungicide. 12-hr reentry.

11) Mancozeb-based products. Group M3 fungicides. 24-hr reentry.

11.1) Fore 80 WP at 1.5 lb/100 gal water plus a spreader-sticker. 
11.2) Protect DF at 1 to 2 lb/100 gal water plus 2 to 4 oz spreader-sticker. 
12) Myclobutanil 20 EW T&O at 6 to 12 fl oz/100 gal water plus spreading agent. May observe a PGR effect. Group 3 fungicide. 24-hr reentry.

13) Pageant at 6 to 12 oz/100 gal water. Group 7 + 11 fungicide. 12-hr reentry.

14) ProStar 70 WG at 3 to 6 oz/100 gal water. Group 7 fungicide. 12-hr reentry.

15) Spectracide Immunox at 1 fl oz/gal water.

16) Spectro 90 WDG at 1 to 2 lb/100 gal water. Group 1 + M5 fungicide. 12-hr reentry.

17) Terraguard SC at 2 to 8 fl oz/100 gal water. Group 3 fungicide. 12-hr reentry.

18) Trigo at 4.8 to 9 oz/100 gal water. Group 3 + 11 fungicide. 12-hr reentry.

",
Clematis,Leaf and Stem Spot,"Phoma clematidina (formerly Ascochyta clematidina), a fungus that overwinters in leaf and stem debris. Spores shed from pycnidia that form on old infected stems. Leaf infections can continue down the petiole and into the stem. The disease is favored by wet weather. Many of the large flowering hybrids are susceptible while the small flowered species are resistant.


","Leaves in the greenhouse may show small, water-soaked spots that turn buff-color with reddish margins. The infection can extend into stems, girdling them and causing shoots to wilt and die. Outdoor plants often are attacked near the ground.


","

1) Remove and destroy infected leaves and stems.

2) Space plants for good air circulation. Keep base of plants open so that it can dry out quickly after rain events.

3) Grow in well-drained media with pH of 5.7 to 6.4.

4) Time irrigation to minimize the amount of time leaves are wet.

","


1) Although not specifically registered, according to IR-4 data, products such as Heritage are safe on this crop. These products may be of some benefit. Group 11 fungicide.

2) Products that contain chlorothalonil such as Daconil have been used in other countries to control this disease. Test on a few plants first for phytotoxicity before wide-scale use.

3) OHP 6672 4.5 F at 10 to 14.5 fl oz/100 gal water plus another fungicide. Group 1 fungicide. 12-hr reentry.

",
Clematis,Powdery Mildew,"Erysiphe aquilegiae (formerly Erysiphe polygoni), a fungus that is frequently on plants growing in shaded areas. Has been reported from Washington and observed in Oregon. The disease can reduce both plant quality and vigor. The time between infection and symptom development ranges from 4 to 11 days at temperatures from 50°F to 85°F, respectively.


","White powdery patches on leaves, petioles and stems, which can involve the entire leaf surface. Small dark specks that look like pepper (cliestothecia) will develop in the powdery areas late in the season.


",,"Fungicides will do best when used on immature tissues before symptoms develop. Few materials have good eradicant activity. Use at 7- to 14-day intervals; using shorter intervals when environmental conditions favor disease development. Alternate or tank-mix products from different groups that have different modes of action.


1) Cosavet-DF (80% sulfur) at 3 to 5 lb/100 gal water. Group M2 fungicide. 24-hr reentry.

2) Although not specifically registered, according to IR-4 data, products such as Heritage are safe on this crop. These products provide good control of powdery mildew on many other crops. Group 11 fungicide.

3) Kumulus DF (80% sulfur) at 3 to 10 lb/A. Group M2 fungicide. 24-hr reentry.

4) MilStop (85% potassium bicarbonate) at 2.5 to 5 lb/A in the field or 1.25 to 5 lb/100 gal water in the greenhouse. Might be used to supplement a normal program when powdery mildew is first observed. Do not mix with acidifying agents. Thorough coverage is essential. 1-hr reentry.

5) Safer Garden Fungicide (Ready To Use 0.4% sulfur) thoroughly sprayed over the entire plant. Do not use when the temperature is over 85°F or within a few weeks of an oil spray.

",
Clover ,(Trifolium spp.)-Black Stem,,,,"


1) Nevado 4F at 1.5 to 2 pints/A. Do not apply more than twice. For . 24-hr reentry.

2) Quadris Flowable at 6 to 15.5 fl oz/A applied prior to disease development. Use of an adjuvant is recommended. Do not apply within 14 days of harvest. 4-hr reentry.

",
Clover ,(Trifolium spp.)-Clover Broom-rape,"Orobanche minor (clover broom-rape) is a federally listed noxious weed that has quarantine significance to many of Oregon's trading partners.
From 1923 to 1997, there have been 6 reports of clover broom-rape in Oregon. In 1998, clover broom-rape was identified in a single field. In 2000, clover broom-rape was found in 15 fields in northwestern Oregon. Native species of broom-rape can be found in all parts of Oregon.
Clover broom-rape reproduces and spreads only by seed. One broom-rape plant produces up to 500,000 dust-like seeds that may be dispersed by wind, machinery, contaminated seed crops, animals, or clothing. Flowering plants that are hand-pulled may still mature and produce viable seed. Seed can remain dormant in the soil for 10 years or more. After germination, clover broom-rape attaches to and penetrates the root of the host plant, disrupting nutrient and water transport in the host root system. Parasitism by clover broom-rape may reduce host crop yield, and, in heavy infestations, kill the host plant.
Red clover is currently the only host in Oregon but greenhouse studies have identified several other weed and crop species that can be clover broom-rape hosts. Clover broom-rape germinated and attached to nasturtium, arrowleaf clover, subterranean clover, white clover, sweet pea, lettuce, snap bean, sunflower, and carrot.


","Annual or perennial, yellowish, brown or purplish root parasites that lack chlorophyll. Stems are simple or branched and fleshy and bare scale-like leaves. Flowers racemose or solitary, white, yellow-white, or slightly purple, resembling a snapdragon.


",,,
